sample,date,laboratory,stratigraphy,artefact,part,LOI,CaO,Fe2O3,TiO2,K2O,SiO2,Al2O3,MgO,MnO,Na2O,P2O5,Zr,Sr,Rb,Zn,Cr,Ni,La,Ba,V,Ce,Y,Th,Pb,Cu
BDX14914,2012-03-07,ArAr (UMR 5138),15312,unknown,rim,19.48,17.17,4.73,0.999,1.71,51.16,20.66,2.85,0.0366,0.00,0.17,243,251,106,52,88,36,56,298,127,105,34,13,29,14
BDX14915,2012-03-07,ArAr (UMR 5138),15312,unknown,body,18.89,16.98,4.96,0.974,1.61,50.80,19.51,3.46,0.0387,0.00,0.17,237,236,93,40,90,46,51,289,121,114,33,11,24,11
BDX14916,2012-03-07,ArAr (UMR 5138),15312,unknown,rim,20.65,20.71,4.25,0.911,1.65,48.09,19.68,2.94,0.0334,0.00,0.19,214,270,95,44,87,52,24,290,122,147,31,9,14,13
BDX14917,2012-03-07,ArAr (UMR 5138),15312,kalathos,rim,18.76,17.17,4.64,1.007,1.71,51.34,20.89,2.88,0.0373,0.00,0.19,242,254,104,58,85,28,57,286,114,99,37,14,37,13
BDX14918,2012-03-07,ArAr (UMR 5138),15312,unknown,body,18.91,17.33,4.56,0.997,1.69,51.10,20.69,2.86,0.0394,0.00,0.22,240,257,104,58,86,30,75,299,120,115,37,12,34,12
BDX14919,2012-03-07,ArAr (UMR 5138),15312,unknown,handle,20.15,19.46,4.39,0.947,1.72,49.44,20.14,2.94,0.0373,0.00,0.15,230,270,107,52,82,19,60,282,115,105,32,15,33,12
BDX14920,2012-03-07,ArAr (UMR 5138),15312,unknown,body,18.52,16.52,4.80,1.022,1.74,51.66,21.09,2.87,0.0364,0.00,0.17,244,242,106,53,89,22,65,312,121,114,34,13,32,16
BDX14921,2012-03-08,ArAr (UMR 5138),15312,unknown,floor,18.32,16.50,4.66,1.017,1.72,51.90,20.97,2.88,0.0385,0.00,0.23,246,247,106,56,92,22,45,313,122,109,38,15,32,16
BDX14922,2012-03-08,ArAr (UMR 5138),15312,unknown,handle,20.69,21.32,4.30,0.926,1.69,48.31,19.70,2.93,0.0328,0.00,0.14,224,272,104,55,81,20,39,299,112,98,29,15,31,14
BDX14923,2012-03-08,ArAr (UMR 5138),15312,unknown,body,18.64,16.51,4.81,1.019,1.72,51.42,20.85,2.88,0.0334,0.00,0.20,247,248,106,57,89,30,49,286,122,106,35,16,36,14
BDX14924,2012-03-08,ArAr (UMR 5138),15312,unknown,body,18.64,16.78,4.64,1.007,1.73,51.66,20.85,2.92,0.0322,0.00,0.27,244,257,111,58,85,27,55,295,120,84,35,12,52,19
BDX14925,2012-03-08,ArAr (UMR 5138),15312,unknown,body,18.53,16.66,4.81,1.019,1.70,51.33,20.84,2.87,0.0398,0.00,0.25,245,283,105,57,90,16,34,331,128,87,35,15,27,17
BDX14926,2012-03-08,ArAr (UMR 5138),15312,unknown,body,19.92,19.63,4.88,0.935,1.75,49.39,19.35,3.29,0.0385,0.00,0.16,222,298,103,52,83,22,75,259,136,157,31,16,37,17
BDX15030,2012-03-08,ArAr (UMR 5138),15205,loom weight,body,19.99,19.33,4.01,0.951,1.70,50.61,19.93,2.88,0.0369,0.00,0.13,246,238,108,52,85,23,60,272,112,101,36,15,35,15
BDX15031,2012-03-08,ArAr (UMR 5138),15205,loom weight,body,20.59,20.62,4.00,0.921,1.72,49.91,19.37,2.95,0.0410,0.00,0.14,240,246,106,54,82,27,34,276,114,133,33,14,30,15
